id,price,quantity,direction,delivery_day,delivery_hour,trader_id,execution_time
t_1,42,77,sell,2024-02-01,0,trader_2,2024-02-01T00:00:00Z
t_2,97,68,sell,2024-02-01,1,trader_1,2024-02-01T01:00:00Z
t_3,115,58,sell,2024-02-01,2,trader_2,2024-02-01T02:00:00Z
t_4,127,24,sell,2024-02-01,3,trader_2,2024-02-01T03:00:00Z
t_5,39,12,buy,2024-02-01,4,trader_1,2024-02-01T04:00:00Z
t_6,135,20,buy,2024-02-01,5,trader_2,2024-02-01T05:00:00Z
t_7,46,34,buy,2024-02-01,6,trader_2,2024-02-01T06:00:00Z
t_8,86,32,buy,2024-02-01,7,trader_1,2024-02-01T07:00:00Z
t_9,98,35,buy,2024-02-01,8,trader_1,2024-02-01T08:00:00Z
t_10,49,15,sell,2024-02-01,9,trader_1,2024-02-01T09:00:00Z
t_11,139,27,sell,2024-02-01,10,trader_2,2024-02-01T10:00:00Z
t_12,55,67,buy,2024-02-01,11,trader_1,2024-02-01T11:00:00Z
t_13,26,99,buy,2024-02-01,12,trader_2,2024-02-01T12:00:00Z
t_14,56,5,buy,2024-02-01,13,trader_1,2024-02-01T13:00:00Z
t_15,79,2,sell,2024-02-01,14,trader_1,2024-02-01T14:00:00Z
t_16,143,1,sell,2024-02-01,15,trader_2,2024-02-01T15:00:00Z
t_17,114,4,buy,2024-02-01,16,trader_1,2024-02-01T16:00:00Z
t_18,148,95,sell,2024-02-01,17,trader_1,2024-02-01T17:00:00Z
t_19,54,80,buy,2024-02-01,18,trader_1,2024-02-01T18:00:00Z
t_20,20,21,buy,2024-02-01,19,trader_1,2024-02-01T19:00:00Z
t_21,89,71,buy,2024-02-01,20,trader_1,2024-02-01T20:00:00Z
t_22,132,66,sell,2024-02-01,21,trader_2,2024-02-01T21:00:00Z
t_23,48,19,sell,2024-02-01,22,trader_2,2024-02-01T22:00:00Z
t_24,80,31,sell,2024-02-01,23,trader_1,2024-02-01T23:00:00Z
t_25,145,72,buy,2024-02-01,0,trader_1,2024-02-01T00:00:00Z
t_26,52,96,sell,2024-02-01,1,trader_1,2024-02-01T01:00:00Z
t_27,127,91,buy,2024-02-01,2,trader_2,2024-02-01T02:00:00Z
t_28,149,84,sell,2024-02-01,3,trader_1,2024-02-01T03:00:00Z
t_29,140,38,sell,2024-02-01,4,trader_1,2024-02-01T04:00:00Z
t_30,26,21,buy,2024-02-01,5,trader_2,2024-02-01T05:00:00Z
t_31,146,64,sell,2024-02-01,6,trader_2,2024-02-01T06:00:00Z
t_32,72,69,sell,2024-02-01,7,trader_2,2024-02-01T07:00:00Z
t_33,25,91,sell,2024-02-01,8,trader_1,2024-02-01T08:00:00Z
t_34,24,41,sell,2024-02-01,9,trader_2,2024-02-01T09:00:00Z
t_35,97,95,buy,2024-02-01,10,trader_1,2024-02-01T10:00:00Z
t_36,21,72,buy,2024-02-01,11,trader_1,2024-02-01T11:00:00Z
t_37,143,70,buy,2024-02-01,12,trader_1,2024-02-01T12:00:00Z
t_38,40,55,sell,2024-02-01,13,trader_2,2024-02-01T13:00:00Z
t_39,89,97,sell,2024-02-01,14,trader_2,2024-02-01T14:00:00Z
t_40,49,32,sell,2024-02-01,15,trader_2,2024-02-01T15:00:00Z
t_41,36,69,buy,2024-02-01,16,trader_1,2024-02-01T16:00:00Z
t_42,72,81,sell,2024-02-01,17,trader_1,2024-02-01T17:00:00Z
t_43,107,32,sell,2024-02-01,18,trader_1,2024-02-01T18:00:00Z
t_44,136,2,sell,2024-02-01,19,trader_2,2024-02-01T19:00:00Z
t_45,117,81,sell,2024-02-01,20,trader_2,2024-02-01T20:00:00Z
t_46,44,56,sell,2024-02-01,21,trader_2,2024-02-01T21:00:00Z
t_47,88,81,sell,2024-02-01,22,trader_1,2024-02-01T22:00:00Z
t_48,53,49,buy,2024-02-01,23,trader_2,2024-02-01T23:00:00Z
t_49,111,29,buy,2024-02-01,0,trader_2,2024-02-01T00:00:00Z
t_50,32,84,buy,2024-02-01,1,trader_2,2024-02-01T01:00:00Z
t_51,39,65,sell,2024-02-01,2,trader_1,2024-02-01T02:00:00Z
t_52,128,68,buy,2024-02-01,3,trader_2,2024-02-01T03:00:00Z
t_53,125,93,sell,2024-02-01,4,trader_2,2024-02-01T04:00:00Z
