id,price,quantity,direction,delivery_day,delivery_hour,trader_id,execution_time
t_101,145,84,sell,2024-02-02,0,trader_2,2024-02-02T00:00:00Z
t_102,73,81,sell,2024-02-02,1,trader_1,2024-02-02T01:00:00Z
t_103,126,25,sell,2024-02-02,2,trader_1,2024-02-02T02:00:00Z
t_104,80,81,sell,2024-02-02,3,trader_2,2024-02-02T03:00:00Z
t_105,145,25,sell,2024-02-02,4,trader_1,2024-02-02T04:00:00Z
t_106,89,8,buy,2024-02-02,5,trader_1,2024-02-02T05:00:00Z
t_107,45,12,buy,2024-02-02,6,trader_1,2024-02-02T06:00:00Z
t_108,83,46,buy,2024-02-02,7,trader_1,2024-02-02T07:00:00Z
t_109,51,93,buy,2024-02-02,8,trader_2,2024-02-02T08:00:00Z
t_110,135,81,sell,2024-02-02,9,trader_2,2024-02-02T09:00:00Z
t_111,35,64,buy,2024-02-02,10,trader_1,2024-02-02T10:00:00Z
t_112,123,77,buy,2024-02-02,11,trader_1,2024-02-02T11:00:00Z
t_113,67,1,buy,2024-02-02,12,trader_2,2024-02-02T12:00:00Z
t_114,98,4,sell,2024-02-02,13,trader_2,2024-02-02T13:00:00Z
t_115,85,56,buy,2024-02-02,14,trader_2,2024-02-02T14:00:00Z
t_116,108,10,sell,2024-02-02,15,trader_1,2024-02-02T15:00:00Z
t_117,136,26,sell,2024-02-02,16,trader_2,2024-02-02T16:00:00Z
t_118,76,41,buy,2024-02-02,17,trader_1,2024-02-02T17:00:00Z
t_119,85,42,sell,2024-02-02,18,trader_2,2024-02-02T18:00:00Z
t_120,77,31,sell,2024-02-02,19,trader_2,2024-02-02T19:00:00Z
t_121,39,23,sell,2024-02-02,20,trader_1,2024-02-02T20:00:00Z
t_122,138,89,sell,2024-02-02,21,trader_1,2024-02-02T21:00:00Z
t_123,22,71,buy,2024-02-02,22,trader_2,2024-02-02T22:00:00Z
t_124,116,28,sell,2024-02-02,23,trader_1,2024-02-02T23:00:00Z
